#,category_id,cat_level1,cat_level2,cat_level3
137,137,Accessories,Headwear,Hat
138,138,Personal Care,Skin Care,Face Scrub and Exfoliator
139,139,Personal Care,Perfumes,Perfume and Body Mist
140,140,Accessories,Cufflinks,Ties and Cufflinks
141,141,Apparel,Bottomwear,Stockings
142,142,Accessories,Jewellery,Jewellery Set
143,143,Accessories,Jewellery,Earrings
144,144,Free Items,Free Gifts,Free Gifts
145,145,Apparel,Topwear,Jackets
146,146,Apparel,Loungewear and Nightwear,Night suits
147,147,Accessories,Mufflers,Mufflers
148,148,Apparel,Topwear,Tunics
149,149,Accessories,Umbrellas,Umbrellas
150,150,Apparel,Loungewear and Nightwear,Lounge Tshirts
151,151,Accessories,Jewellery,Necklace and Chains
152,152,Accessories,Jewellery,Bracelet
153,153,Personal Care,Makeup,Foundation and Primer
154,154,Personal Care,Fragrance,Deodorant
155,155,Apparel,Topwear,Sweaters
156,156,Accessories,Accessories,Accessory Gift Set
157,157,Footwear,Sandal,Sandals
158,158,Accessories,Accessories,Key chain
159,159,Personal Care,Makeup,Concealer
160,160,Personal Care,Skin Care,Eye Cream
161,161,Apparel,Bottomwear,Leggings
162,162,Apparel,Topwear,Waistcoat
163,163,Accessories,Bags,Mobile Pouch
164,164,Personal Care,Skin Care,Toner
165,165,Accessories,Bags,Travel Accessory
166,166,Apparel,Dress,Dresses
167,167,Sporting Goods,Sports Equipment,Basketballs
168,168,Apparel,Socks,Booties
169,169,Accessories,Bags,Laptop Bag
170,170,Accessories,Wallets,Wallets
